failed to get console mode for stdout: The handle is invalid.
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.01%     82.48MiB / 7.702GiB   1.05%     1.04MB / 1.05MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.01%     82.87MiB / 7.702GiB   1.05%     1.05MB / 1.04MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.01%     82.85MiB / 7.702GiB   1.05%     1.05MB / 1.05MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.01%     84.55MiB / 7.702GiB   1.07%     1.05MB / 1.05MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.01%     84.59MiB / 7.702GiB   1.07%     1.05MB / 1.04MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.01%     65.01MiB / 7.702GiB   0.82%     1.05MB / 1.05MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.01%     63.69MiB / 7.702GiB   0.81%     1.05MB / 1.05MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    19.66%    62.84MiB / 7.702GiB   0.80%     1.05MB / 1.04MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.01%     64.33MiB / 7.702GiB   0.82%     1.05MB / 1.05MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    0.01%     63.64MiB / 7.702GiB   0.81%     1.05MB / 1.05MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   0.01%     82.48MiB / 7.702GiB   1.05%     1.04MB / 1.05MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    0.01%     82.87MiB / 7.702GiB   1.05%     1.05MB / 1.04MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    0.01%     82.85MiB / 7.702GiB   1.05%     1.05MB / 1.05MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    0.01%     84.55MiB / 7.702GiB   1.07%     1.05MB / 1.05MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    0.01%     84.59MiB / 7.702GiB   1.07%     1.05MB / 1.04MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    0.01%     65.01MiB / 7.702GiB   0.82%     1.05MB / 1.05MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    0.01%     63.69MiB / 7.702GiB   0.81%     1.05MB / 1.05MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    19.66%    62.84MiB / 7.702GiB   0.80%     1.05MB / 1.04MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    0.01%     64.33MiB / 7.702GiB   0.82%     1.05MB / 1.05MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    0.01%     63.64MiB / 7.702GiB   0.81%     1.05MB / 1.05MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   10.42%    82.66MiB / 7.702GiB   1.05%     1.26MB / 1.26MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    11.41%    83.26MiB / 7.702GiB   1.06%     1.26MB / 1.27MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    12.88%    82.96MiB / 7.702GiB   1.05%     1.27MB / 1.28MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    12.23%    84.77MiB / 7.702GiB   1.07%     1.26MB / 1.26MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    10.93%    84.66MiB / 7.702GiB   1.07%     1.26MB / 1.25MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    9.75%     65.26MiB / 7.702GiB   0.83%     1.26MB / 1.25MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    12.33%    64.02MiB / 7.702GiB   0.81%     1.26MB / 1.26MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    13.99%    63.16MiB / 7.702GiB   0.80%     1.26MB / 1.27MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    12.80%    64.57MiB / 7.702GiB   0.82%     1.27MB / 1.28MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    11.40%    63.91MiB / 7.702GiB   0.81%     1.28MB / 1.26MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   10.42%    82.66MiB / 7.702GiB   1.05%     1.26MB / 1.26MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    11.41%    83.26MiB / 7.702GiB   1.06%     1.26MB / 1.27MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    12.88%    82.96MiB / 7.702GiB   1.05%     1.27MB / 1.28MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    12.23%    84.77MiB / 7.702GiB   1.07%     1.26MB / 1.26MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    10.93%    84.66MiB / 7.702GiB   1.07%     1.26MB / 1.25MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    9.75%     65.26MiB / 7.702GiB   0.83%     1.26MB / 1.25MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    12.33%    64.02MiB / 7.702GiB   0.81%     1.26MB / 1.26MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    13.99%    63.16MiB / 7.702GiB   0.80%     1.26MB / 1.27MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    12.80%    64.57MiB / 7.702GiB   0.82%     1.27MB / 1.28MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    11.40%    63.91MiB / 7.702GiB   0.81%     1.28MB / 1.26MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   29.67%    82.89MiB / 7.702GiB   1.05%     1.86MB / 1.85MB   0B / 0B     7
c95b581408cb   proof-of-training-quality-node9-1    25.00%    83.59MiB / 7.702GiB   1.06%     1.85MB / 1.86MB   0B / 0B     7
61c855158cf8   proof-of-training-quality-node8-1    28.32%    83.25MiB / 7.702GiB   1.06%     1.87MB / 1.87MB   0B / 0B     7
fb49d769878d   proof-of-training-quality-node7-1    26.79%    85.3MiB / 7.702GiB    1.08%     1.86MB / 1.87MB   0B / 0B     7
fab3efc9cdd1   proof-of-training-quality-node6-1    28.30%    85.16MiB / 7.702GiB   1.08%     1.85MB / 1.87MB   0B / 0B     7
a121a0f49f45   proof-of-training-quality-node5-1    25.09%    66.07MiB / 7.702GiB   0.84%     1.85MB / 1.86MB   0B / 0B     7
0777b920b400   proof-of-training-quality-node4-1    25.59%    64.63MiB / 7.702GiB   0.82%     1.85MB / 1.86MB   0B / 0B     7
73f7f18c2b87   proof-of-training-quality-node3-1    24.96%    63.7MiB / 7.702GiB    0.81%     1.86MB / 1.79MB   0B / 0B     7
c1fba683b611   proof-of-training-quality-node2-1    26.77%    65.21MiB / 7.702GiB   0.83%     1.86MB / 1.84MB   0B / 0B     7
ea40d082c391   proof-of-training-quality-node1-1    26.21%    64.73MiB / 7.702GiB   0.82%     1.86MB / 1.88MB   0B / 0B     7
[2J[HCONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
778643d548d0   proof-of-training-quality-node10-1   29.67%    82.89MiB / 7.702GiB   1.05%     1.86MB / 1.85MB   0B / 0B     7
